node_id,claim_type,committee_claim,current_value,evidence_ids,evidence_classes,calculation_or_rule,artifact_locator,workbook_locator,owner_role,limitation
LIN-01,input,Requested commitment,5000000.00,ASM-C001,assumed,Declared fictional facility request,artifacts/decision-record.json#requested_amount_usd,Assumptions!D8,Credit risk,No actual borrower request or Coinbase transaction is asserted.
LIN-02,assessment,Illustrative obligor rating,3 / Watchful,SRC-001|SRC-002|ASM-C004,assumed|reported,Weighted ordinal factor assessment; no probability of default,artifacts/rating-analysis.json#illustrative_rating,Rating!D16,Credit risk,Not calibrated and not Coinbase policy.
LIN-03,decision_cap,Obligor cap,7500000.00,ASM-C004,assumed,Declared standalone obligor-cap assumption,artifacts/decision-record.json#caps_usd/obligor,Portfolio!D22,Credit risk,Private repayment-capacity diligence is unavailable.
LIN-04,calculation,Available collateral proceeds,3870600.00,ASM-C002|ASM-C003|ASM-C007|SRC-005,assumed|reported|simulated,"Stressed gross value less execution, delay, and fixed costs; zero on any hard blocker",artifacts/decision-record.json#available_proceeds_usd,Collateral!D15,Collateral operations and credit risk,"Collateral lot, costs, custody, and route are fictional or assumed."
LIN-05,decision_cap,Collateral cap,3046480.00,ASM-C002|ASM-C003|ASM-C007|SRC-005,assumed|reported|simulated,"Available collateral proceeds divided by required coverage ratio, less the accrued amount",artifacts/decision-record.json#caps_usd/collateral,Portfolio!D23,Credit risk,Legal control and route operability are not evidenced.
LIN-06,decision_cap,Single-name cap,6000000.00,ASM-C005,assumed,Declared illustrative portfolio limit,artifacts/decision-record.json#caps_usd/single_name,Portfolio!D24,Portfolio risk,Not Coinbase policy and not an observed portfolio limit.
LIN-07,decision_cap,Concentration cap,4000000.00,ASM-C006,assumed,Declared shared-risk concentration capacity,artifacts/decision-record.json#caps_usd/concentration,Portfolio!D25,Portfolio risk,Portfolio exposures and policy thresholds are fictional.
LIN-08,decision,Recommended conditional limit,3000000.00,ASM-C001|ASM-C002|ASM-C003|ASM-C004|ASM-C005|ASM-C006|ASM-C007,assumed|simulated,"Minimum of requested amount and four caps, zero on a hard blocker, rounded down to $100,000",artifacts/decision-record.json#recommended_amount_usd,Summary!D14,Credit committee,Conditional analytical recommendation only; not authority to fund.
LIN-09,gate,Funding gate,blocked_pending_conditions,ASM-C001|ASM-C002|ASM-C005|ASM-C007,assumed|simulated,Blocked while any named pre-funding condition remains outstanding,artifacts/condition-register.json#funding_gate_status,Conditions!D10,Credit administration,All nine current conditions remain outstanding in the hypothetical case.
LIN-10,sensitivity,Residual liquidity after potential holder put,-194790000.00,SRC-001|SRC-002,reported,Static reported-cash bridge less identified obligations and potential put,artifacts/liquidity-analysis.json#residual_after_potential_put_usd,Liquidity!E14,Credit risk,"Not a borrowing-entity forecast; excludes unlisted inflows, needs, and restrictions."
LIN-11,control,Pre-funding monitoring blockers,1,ASM-C001|ASM-C002|ASM-C005|ASM-C007,assumed|simulated,Count of monitoring rules blocked before activation,artifacts/monitoring-plan.json#summary/pre_funding_blocked_count,Monitoring!D20,Credit administration,No executed borrower reporting or observed compliance exists.
