metric,target_recommendation_usd,value,unit,collateral_quantity_usdc,price_stress_pct,binding_cap
max_price_decline,2000000,0.365239,ratio,,,
max_price_decline,3000000,0.050378,ratio,,,
max_price_decline,4000000,0.000000,ratio,,,
max_price_decline,5000000,0.000000,ratio,,,
required_collateral_quantity,2000000,2590860.02,USDC,,,
required_collateral_quantity,3000000,3876008.84,USDC,,,
required_collateral_quantity,4000000,5161157.66,USDC,,,
required_collateral_quantity,5000000,6446306.48,USDC,,,
maximum_non_collateral_limit,,4000000.00,USD,,,
decision_surface_recommendation,,1500000.00,USD,2000000.00,0,collateral
decision_surface_recommendation,,1500000.00,USD,2000000.00,0.02,collateral
decision_surface_recommendation,,1400000.00,USD,2000000.00,0.05,collateral
decision_surface_recommendation,,1400000.00,USD,2000000.00,0.10,collateral
decision_surface_recommendation,,1200000.00,USD,2000000.00,0.20,collateral
decision_surface_recommendation,,1000000.00,USD,2000000.00,0.30,collateral
decision_surface_recommendation,,900000.00,USD,2000000.00,0.40,collateral
decision_surface_recommendation,,700000.00,USD,2000000.00,0.50,collateral
decision_surface_recommendation,,2300000.00,USD,3000000.00,0,collateral
decision_surface_recommendation,,2300000.00,USD,3000000.00,0.02,collateral
decision_surface_recommendation,,2200000.00,USD,3000000.00,0.05,collateral
decision_surface_recommendation,,2100000.00,USD,3000000.00,0.10,collateral
decision_surface_recommendation,,1800000.00,USD,3000000.00,0.20,collateral
decision_surface_recommendation,,1600000.00,USD,3000000.00,0.30,collateral
decision_surface_recommendation,,1400000.00,USD,3000000.00,0.40,collateral
decision_surface_recommendation,,1100000.00,USD,3000000.00,0.50,collateral
decision_surface_recommendation,,3100000.00,USD,4000000.00,0,collateral
decision_surface_recommendation,,3000000.00,USD,4000000.00,0.02,collateral
decision_surface_recommendation,,3000000.00,USD,4000000.00,0.05,collateral
decision_surface_recommendation,,2800000.00,USD,4000000.00,0.10,collateral
decision_surface_recommendation,,2500000.00,USD,4000000.00,0.20,collateral
decision_surface_recommendation,,2200000.00,USD,4000000.00,0.30,collateral
decision_surface_recommendation,,1800000.00,USD,4000000.00,0.40,collateral
decision_surface_recommendation,,1500000.00,USD,4000000.00,0.50,collateral
decision_surface_recommendation,,3900000.00,USD,5000000.00,0,collateral
decision_surface_recommendation,,3800000.00,USD,5000000.00,0.02,collateral
decision_surface_recommendation,,3700000.00,USD,5000000.00,0.05,collateral
decision_surface_recommendation,,3500000.00,USD,5000000.00,0.10,collateral
decision_surface_recommendation,,3100000.00,USD,5000000.00,0.20,collateral
decision_surface_recommendation,,2700000.00,USD,5000000.00,0.30,collateral
decision_surface_recommendation,,2300000.00,USD,5000000.00,0.40,collateral
decision_surface_recommendation,,1900000.00,USD,5000000.00,0.50,collateral
decision_surface_recommendation,,4000000.00,USD,6000000.00,0,concentration
decision_surface_recommendation,,4000000.00,USD,6000000.00,0.02,concentration
decision_surface_recommendation,,4000000.00,USD,6000000.00,0.05,concentration
decision_surface_recommendation,,4000000.00,USD,6000000.00,0.10,concentration
decision_surface_recommendation,,3700000.00,USD,6000000.00,0.20,collateral
decision_surface_recommendation,,3300000.00,USD,6000000.00,0.30,collateral
decision_surface_recommendation,,2800000.00,USD,6000000.00,0.40,collateral
decision_surface_recommendation,,2300000.00,USD,6000000.00,0.50,collateral
