source_id,input_or_claim,evidence_class,source_url_or_assumption,source_location,period_end,published_at,retrieved_at,unit,limitations,review_status,snapshot_path,snapshot_sha256
SRC-001,MARA June 2026 financial liquidity debt and bitcoin facts,reported,https://www.sec.gov/Archives/edgar/data/1507605/000150760526000022/mara-20260630.htm,"Form 10-Q; Liquidity and Capital Resources",2026-06-30,2026-08-07,2026-09-20,USD and BTC,"Does not establish facility terms collateral ownership lien priority or Coinbase relationship",frozen-and-reviewed,02-research/snapshots/2026-09-20/mara-20260630-10q.html,8f3b359a53850109efb5cb6f3fcc60328290f965485cf9d3a977a73e05ec8d60
SRC-002,MARA 2025 annual debt and operating cash use,reported,https://www.sec.gov/Archives/edgar/data/1507605/000150760526000007/mara-20251231.htm,"Form 10-K; MD&A and notes",2025-12-31,2026-03-02,2026-09-20,USD,"Annual baseline predates June 2026 interim filing",frozen-and-reviewed,02-research/snapshots/2026-09-20/mara-20251231-10k.html,93cb40af635c8d04321d0e9120dad34b828d3ca5a66314579221720fb44dcd08
SRC-003,Candles endpoint behavior and 300-candle limit,reported,https://docs.cdp.coinbase.com/api-reference/exchange-api/rest-api/products/get-product-candles,"Get product candles; limitations and maximum records",,2026-09-20,2026-09-20,API records,"Historical intervals can be missing; endpoint is not a historical order book",frozen-and-reviewed,02-research/snapshots/2026-09-20/coinbase-product-candles.html,ca94987d390b14ae2800d59f7a7e804b7a44c8658b09ca70427d8dbba93c8e45
SRC-004,Product book levels and point-in-time fields,reported,https://docs.cdp.coinbase.com/api-reference/exchange-api/rest-api/products/get-product-book,"Get product book; levels and details",,2026-09-20,2026-09-20,API records,"Snapshot can change immediately; displayed depth does not prove execution",frozen-and-reviewed,02-research/snapshots/2026-09-20/coinbase-product-book.html,e25a32c0d9385d27426595fef35449ddb2d15c971145bd8a2413a3e6aec28886
SRC-005,Base safe and finalized states and canonical withdrawal mechanics,reported,https://docs.base.org/specifications/base-protocol/consensus/derivation,"Derivation and finality discussion",,2026-09-20,2026-09-20,time and state,"Protocol state does not establish ownership legal control custody liquidation or bank settlement",frozen-and-reviewed,02-research/snapshots/2026-09-20/base-derivation.html,50ae6c09cacc578ecf37ecc0d59947233b06fd6c7b28ee88a754e6f349cd30d3
ASM-C001,"$5m 12-month revolving working-capital request; bullet maturity; operating liquidity as primary repayment",assumed,case-MARA-CR-001,Fictional facility terms,,2026-09-20,2026-09-20,USD and time,"Not MARA or Coinbase terms; cash forecast and use of proceeds unavailable",illustrative,,
ASM-C002,"4m USDC on Base at $1.00 in proposed lender-controlled structure",simulated,case-MARA-CR-001,Fictional collateral lot,,2026-09-20,2026-09-20,USDC and USD,"No wallet address ownership lien custody or control evidence; not MARA property",illustrative-blocked,,
ASM-C003,"2% price stress; 50bp execution cost; $9800 delay cost; $20000 fixed cost; 1.25x coverage",assumed,case-MARA-CR-001,Fictional collateral policy,,2026-09-20,2026-09-20,percent basis points and USD,"Sensitivity inputs not calibrated to observed stress or Coinbase policy",illustrative,,
ASM-C004,"$7.5m obligor cap and grade 3 / Watchful",assumed,case-MARA-CR-001,Fictional obligor policy judgment,,2026-09-20,2026-09-20,USD and ordinal grade,"No calibrated PD or complete private diligence",disputed,,
ASM-C005,$6m single-name cap,assumed,case-MARA-CR-001,Fictional policy limit,,2026-09-20,2026-09-20,USD,Not Coinbase policy,illustrative,,
ASM-C006,$4m shared-route concentration cap,assumed,case-MARA-CR-001,Fictional policy and portfolio,,2026-09-20,2026-09-20,USD,"No actual portfolio exposures; not Coinbase policy",illustrative,,
ASM-C007,"Ownership first priority legal control custody and repayment route required before funding",assumed,case-MARA-CR-001,Fictional approval condition,,2026-09-20,2026-09-20,text,"Requires legal and operational evidence not present",hard-blocker,,
