fact_id,metric,source_id,snapshot_path,period_end,extraction,locator,filing_value,model_or_memo_value,difference,tolerance,unit,precision,status
FIN-001,cash_and_equivalents_usd,SRC-001,02-research/snapshots/2026-09-20/mara-20260630-10q.html,2026-06-30,xbrl,us-gaap:CashAndCashEquivalentsAtCarryingValue context c-3 scale 3,421274000,421300000,26000,50000,USD,rounded to nearest $0.1m in model,PASS
FIN-002,cash_designated_share,SRC-001,02-research/snapshots/2026-09-20/mara-20260630-10q.html,2026-06-30,narrative,Approximately ([0-9]+)% of cash and cash equivalents,0.3,0.30,0.00,0,ratio,reported approximate percentage,PASS
FIN-003,bitcoin_total,SRC-001,02-research/snapshots/2026-09-20/mara-20260630-10q.html,2026-06-30,narrative,"held approximately ([0-9,]+) bitcoin",35577,35577,0,0,BTC,reported count,PASS
FIN-004,bitcoin_fair_value_usd,SRC-001,02-research/snapshots/2026-09-20/mara-20260630-10q.html,2026-06-30,narrative,total fair value of $([0-9.]+) billion,2100000000.0,2100000000,0.0,0,USD,reported approximate amount,PASS
FIN-005,bitcoin_loaned,SRC-001,02-research/snapshots/2026-09-20/mara-20260630-10q.html,2026-06-30,narrative,"loaned out a total of ([0-9,]+) bitcoin",4742,4742,0,0,BTC,reported count,PASS
FIN-006,bitcoin_pledged,SRC-001,02-research/snapshots/2026-09-20/mara-20260630-10q.html,2026-06-30,xbrl,mara:NumberOfBitcoinsCollateralized context c-3,4528,4528,0,0,BTC,reported count,PASS
FIN-007,bitcoin_unrestricted,SRC-001,02-research/snapshots/2026-09-20/mara-20260630-10q.html,2026-06-30,narrative,"remaining ([0-9,]+) unrestricted bitcoin",26307,26307,0,0,BTC,reported count,PASS
FIN-008,debt_usd,SRC-001,02-research/snapshots/2026-09-20/mara-20260630-10q.html,2026-06-30,xbrl,us-gaap:LongTermDebt context c-3 scale 3,2417749000,2400000000,17749000,50000000,USD,rounded to approximately $2.4bn in model,PASS
FIN-009,line_of_credit_usd,SRC-001,02-research/snapshots/2026-09-20/mara-20260630-10q.html,2026-06-30,xbrl,us-gaap:LongTermDebt context c-108 scale 6,150000000.0,150000000,0.0,0,USD,reported amount,PASS
FIN-010,december_2026_notes_usd,SRC-001,02-research/snapshots/2026-09-20/mara-20260630-10q.html,2026-06-30,xbrl,us-gaap:LongTermDebt context c-238 scale 3,48077000,48100000,23000,50000,USD,rounded to nearest $0.1m in memo,PASS
FIN-011,operating_cash_flow_usd,SRC-002,02-research/snapshots/2026-09-20/mara-20251231-10k.html,2025-12-31,xbrl,us-gaap:NetCashProvidedByUsedInOperatingActivities context c-1 scale 3,-802725000,-802700000,25000,50000,USD,rounded to nearest $0.1m in memo,PASS
FIN-012,june_2031_notes_current_usd,SRC-001,02-research/snapshots/2026-09-20/mara-20260630-10q.html,2026-06-30,xbrl,us-gaap:LongTermDebtCurrent context c-244 scale 3,291600000.0,291600000,0.0,50000,USD,rounded to nearest $0.1m in memo,PASS
FIN-013,debt_usd,SRC-002,02-research/snapshots/2026-09-20/mara-20251231-10k.html,2025-12-31,xbrl,us-gaap:LongTermDebt context c-4 scale 3,3599927000,3600000000,73000,50000000,USD,rounded to approximately $3.6bn in memo,PASS
